book_id,title,category,filename
10001121,"Bielsko, Poland, Group photograph of youths of the Trumpeldor group.",youngsters,8001
10001351,"Przemysl, Poland, Group photograph of ""Hashomer Hatzair"" Hachshara, Sami Halbreich (second husband of the submitter's mother) is on the upper left. February 18, 1934.",youngsters,8002
10001375,"Bielsko, Poland, Group photograph of the Jewish National Fund tour, 1935.",youngsters,8003
10001407,"Poland, Group photograph of youth, probably of a youth group.",youngsters,8004
10002853,"Braila, Romania, a photograph of Braha (nee Bercovici) Avraham (the submitter) during training in the 'Maccabi' movement.",youngsters,8005
100042,"Zelechow, Poland, A soup kitchen of the Jewish self-help organization which functioned with the permission of the authorities, 1941-1942.",Warszawa Ghetto,8006
10004382,A photograph of the Kashirskiy children (cousins of Herman Seltzer).,children,8007
100056,"Kibbutz Chafetz Chaim, Germany, The surviving remnant, women from the Kibbutz in the DP camp.",Displaced Persons Camps,8008
10005947,To be translated,youngsters,8009
100066,"Zbaszyn, Poland, Postwar, An upholstery course in the refugee camp.",Displaced Persons Camps,8010
10012694,"Poland, a gendarmerie member shaving the beard of a Jewish man.",humiliation,8011
10013,"Lodz, Poland, Genewein, manager of the ghetto finance department.",ghetto lodz,8012
10013658,"Czestochowa, Poland, Jews standing in front of the hospital, 1914.",Hospital,8013
10014614,"Berlin, Germany, ""Maccabi"" members, among them - Kurt Mamlok, arround 1932.",youngsters,8014
10014621,"Czestochowa, Poland, Soccer game between Jewish teams, 19/04/1946.",sport,8015
10015006,"Saloniki, Greece, Photograph of a child (a cousin of the submitter of the material), 1940.",children,8016
10015130,"Berlin, Germany, Kurt Mamlok as a todler, before the war.",children,8017
10015371,"Germany, Group photograph of summer camp, Kurt Mamluk at the age of 11 is second from the left in the bottom row, 1916.",children,8018
10015772,"Teodors twin daughters, Ruth and Hana,1939.",children,8019
10015828,"Ruth (left) and Hana (right), twins daughter of Teodor Nachmann, and Frieda Federgruen, 1940.",children,8020
10015834,"Ruth (right) and Hana (left), twins daughter of Teodor Nachmann, and Frieda Federgruen, 1940.",children,8021
10020,"Lodz, Poland, 04/07/1942, After a fire in the ghetto.",ghetto lodz,8022
10020398,"Krakow, Poland. A photograph inside a Synagogue, before the war.",Synagogues,8023
10020448,"Krakow, Poland. A photograph inside a Synagogue,before the war.",Synagogues,8024
10020473,"Krakow, Poland. A photograph outside a Synagogue, before the war.",Synagogues,8025
10021,"Lodz, Poland, A market for selling goods.",ghetto lodz,8026
10022032,"Bindermichl, Austria, Hanoar Hatzioni group in the DP camp, 1946.",Displaced Persons Camps,8027
10036595,"Riga, Latvia, Portrait of Masha Bloch, age 16.",youngsters,8028
10036607,"Riga, Latvia, Portrait of David Glikman, age 17, September 1940.",youngsters,8029
10040214,"Germany, Group photograph of Jewish youth wearing uniforms, before the war.",youngsters,8030
100414,"Hindenburg, Germany, Prewar, A synagogue.",Synagogues,8031
100425,"Klosterneuburg, Austria, A Jew sweeping the streets.",forced labor,8032
10043131,"Czechoslovakia, a photograph of a child.",children,8033
100437,"Sobibor, Poland, Train tracks at the former entrance of the camp.",Death Camps,8034
100455,"Treblinka,  Poland, Smoke raises from the camp during a revolt on 02/08/1943.",Death Camps,8035
100457,"Warsaw, Poland, Jewish forced laborers removing rubble after a Luftwaffe air raid, 1939.",forced labor,8036
10046,"Lodz, Poland, People loading wagons with their belongings during a deportation to the ghetto.",ghetto lodz,8037
100473,"Masarek  Rudolf, one of the leaders of the Treblinka revolt .1943",Death Camps,8038
100501,"Mogilev, Belorussia, Jews sewing the badge of shame on their clothes, August 1941.",Yellow badge,8039
100504,"Mogilev, Belorussia, August 1941, Jews attaching the Jewish badge to their clothes.",Yellow badge,8040
100510,"Mogilev, Belorussia, August 1941, Jews on their way to forced labor.",forced labor,8041
100535,"Krakow, Poland, May 1940, the Jewish hospital.",Hospital,8042
10054770,"Poland, Krakow, a photograph of Mordechai (husband of the submitter) with Poldah, during the war.",children,8043
100550,"Krakow, Poland, A Polish and a German policeman directing the traffic at the square.",police,8044
100556,"Warsaw, Poland, Jews, holding pots, queueing for food, May 1941.",food,8046
100556,"Warsaw, Poland, Jews, holding pots, queueing for food, May 1941.",hunger,8045
10059306,"Poland, Four religious Jews, Rabbi Elazar Elimelech on the left, Rabbi Kapel Parnas on the right, and his assistant Rabbi Shmuel David next to him.",Rabbis,8047
